word,x,y,z
BALANCE,-1.129787,0.3337473,5.699399
BALANCE,-1.153975,0.3319625,5.709545
BALANCE,-1.160749,0.3496981,5.720713
BALANCE,-1.165497,0.3519211,5.730931
BALANCE,-1.138538,0.3370695,5.741483
BALANCE,-1.134979,0.3320073,5.752664
BALANCE,-1.136962,0.3313431,5.763594
BALANCE,-1.141023,0.3373922,5.774869
BALANCE,-1.149977,0.3392842,5.786227
BALANCE,-1.143772,0.3360258,5.797055
BALANCE,-1.146255,0.3321619,5.808482
BALANCE,-1.149541,0.3313062,5.819465
BALANCE,-1.149037,0.3287783,5.831163
BALANCE,-1.152591,0.3293069,5.842456
BALANCE,-1.156941,0.3290468,5.853746
BALANCE,-1.156123,0.3245052,5.866001
BALANCE,-1.159113,0.323257,5.87563
BALANCE,-1.159084,0.3222573,5.88606
BALANCE,-1.143415,0.3178343,5.897013
BALANCE,-0.972912,0.2282382,5.908325
BALANCE,-0.9323593,0.146074,5.919194
BALANCE,-0.9332877,0.1809961,5.930374
BALANCE,-0.9289398,0.1707246,5.941482
BALANCE,-0.9260812,0.1707357,5.952692
BALANCE,-0.9232183,0.1627914,5.964742
BALANCE,-0.9316959,0.158283,5.974811
BALANCE,-0.9391862,0.1534659,5.988368
BALANCE,-0.9746689,0.1168041,5.996968
BALANCE,-0.9796531,0.1102266,6.008071
BALANCE,-0.9733137,0.1052756,6.019299
BALANCE,-0.9671423,0.1004885,6.030723
BALANCE,-0.9581491,0.09988448,6.04141
BALANCE,-0.9532239,0.1023529,6.052698
BALANCE,-0.9448813,0.1070577,6.0637
BALANCE,-0.9345164,0.1126465,6.074906
BALANCE,-0.939091,0.1166263,6.08666
BALANCE,-0.9356711,0.132709,6.097978
BALANCE,-0.6861261,0.1916393,6.108972
BALANCE,-0.4333426,0.2527762,6.120299
BALANCE,-0.0809325,0.2497396,6.131461
BALANCE,0.5661372,0.1981556,6.142516
BALANCE,0.7448326,0.1778947,6.153608
BALANCE,0.7490829,0.2418005,6.164828
BALANCE,0.7770855,0.1831999,6.176059
BALANCE,0.7838582,0.2009045,6.187191
BALANCE,0.8335983,0.2268625,6.198779
BALANCE,0.8359139,0.2537686,6.209115
BALANCE,0.8410034,0.2454889,6.22076
BALANCE,0.8339481,0.2563595,6.230964
BALANCE,0.847073,0.2688749,6.241155
BALANCE,0.8476586,0.2700021,6.252308
BALANCE,0.8624988,0.2741868,6.263339
BALANCE,0.8600271,0.2687816,6.274573
BALANCE,0.8605589,0.2708044,6.286434
BALANCE,0.8599218,0.2674452,6.296608
BALANCE,0.863258,0.2681699,6.308068
BALANCE,0.8640224,0.2653749,6.319011
BALANCE,0.8618736,0.2648058,6.330399
BALANCE,0.8660817,0.2646216,6.341188
BALANCE,0.868338,0.2639184,6.352361
BALANCE,0.8725476,0.2577686,6.363378
BALANCE,0.9899845,0.1707881,6.37468
BALANCE,0.9505659,0.1834532,6.385562
BALANCE,0.953017,0.1541645,6.396749
BALANCE,0.9559327,0.1359335,6.407802
BALANCE,0.9509727,0.1481463,6.419196
BALANCE,0.9532022,0.1472596,6.430056
BALANCE,0.9798136,0.1877847,6.440958
BALANCE,0.9869084,0.1925434,6.452613
BALANCE,0.9888246,0.1970227,6.463543
BALANCE,0.996289,0.2024397,6.474533
BALANCE,1.001956,0.2058555,6.486117
BALANCE,1.004393,0.206194,6.496555
BALANCE,1.006069,0.2050251,6.507956
BALANCE,1.009256,0.2057368,6.518888
BALANCE,1.019535,0.2067688,6.530032
BALANCE,1.023849,0.209194,6.54126
BALANCE,1.028459,0.1992773,6.552105
BALANCE,1.030867,0.1903685,6.56337
BALANCE,1.030885,0.1899769,6.574687
BALANCE,1.037042,0.1822727,6.585915
BALANCE,1.040562,0.1823721,6.596931
BALANCE,1.045566,0.1837188,6.608252
BALANCE,1.034183,0.1548327,6.619005
BALANCE,1.042372,0.2763239,6.630519
BALANCE,1.082491,0.6345882,6.641769
BALANCE,1.001641,0.6468995,6.653276
BALANCE,0,0,6.664051
