,word,count,log_count
477,five,3198,8.0702808933939
478,permanent,266,5.583496308781699
479,members,1672,7.421775793644647
480,russia,442,6.091309882077698
481,china,1119,7.020190708311925
482,well,13524,9.512221163827776
483,union,855,6.75110146893676
484,policy,1624,7.392647520721623
485,chief,1027,6.934397209928558
486,export,105,4.653960350157523
487,enriched,44,3.784189633918261
488,processing,245,5.501258210544727
489,bought,760,6.633318433280377
490,reducing,194,5.267858159063328
491,potential,1097,7.00033446027523
492,making,3124,8.046869510959576
493,hands,1865,7.5310163320779155
494,year,8458,9.042868018032435
495,news,2742,7.91644286012226
496,raised,753,6.6240652277998935
497,politicians,363,5.8944028342648505
498,arguing,188,5.236441962829949
499,trusted,124,4.820281565605037
500,return,1236,7.119635638017636
501,shortly,202,5.308267697401205
502,accord,69,4.23410650459726
503,inspector,96,4.564348191467836
504,rejecting,39,3.6635616461296463
505,deal,2013,7.607381425639791
506,raises,170,5.135798437050262
507,february,480,6.173786103901937
508,extensive,236,5.4638318050256105
509,past,2692,7.898039690764619
510,current,1529,7.332369205929062
511,undisclosed,24,3.1780538303479458
512,activities,782,6.661854740545311
513,develop,633,6.450470422144176
514,unusually,60,4.0943445622221
515,conclusion,318,5.762051382780177
516,likely,1801,7.496097345175956
517,accelerate,47,3.8501476017100584
518,confrontation,81,4.394449154672439
519,other,13596,9.517530910816006
520,western,911,6.814542897259958
521,countries,1247,7.1284959456800365
522,director,1301,7.170888478512505
523,general,2190,7.691656822810547
524,nation,1181,7.074116816197362
525,related,1139,7.037905963447182
526,activity,806,6.692083742506628
527,apparently,589,6.3784261836515865
528,continued,669,6.505784060128229
529,beyond,1174,7.068172000388042
530,announcement,145,4.976733742420574
531,very,9372,9.145481799627687
532,alarmed,29,3.367295829986474
533,unwillingness,25,3.2188758248682006
534,cooperate,91,4.51085950651685
535,i,139623,11.846701212186547
536,march,849,6.744059186311348
537,russian,440,6.0867747269123065
538,disclosed,52,3.9512437185814275
539,chinese,916,6.82001636467413
540,envoys,37,3.6109179126442243
541,pressed,215,5.3706380281276624
542,accept,638,6.45833828334479
543,during,4152,8.331345424845724
544,meetings,358,5.8805329864007
545,month,1594,7.374001859350161
546,refused,372,5.918893854273146
547,leaving,821,6.710523109452428
548,less,3298,8.101071503119543
549,sincerity,33,3.4965075614664802
550,again,4991,8.515391569469609
551,may,7803,8.962263554116761
552,negotiated,68,4.219507705176107
553,turkey,515,6.244166900663736
554,brazil,125,4.8283137373023015
555,offer,1099,7.002155954403621
556,term,1534,7.335633981927201
557,solution,444,6.095824562432225
558,ongoing,254,5.537334267018537
559,prove,490,6.194405391104672
560,tactic,68,4.219507705176107
561,aimed,185,5.220355825078324
562,bring,1783,7.48605261786314
563,pounds,425,6.052089168924417
564,low,2026,7.613818684808629
565,stored,102,4.624972813284271
566,exchange,487,6.18826412308259
567,receive,587,6.375024819828097
568,percent,3098,8.038512020976814
569,next,4600,8.433811582477187
570,day,7631,8.939974177289633
571,hillary,305,5.720311776607412
572,clinton,1261,7.13966033596492
573,struck,304,5.717027701406222
574,powers,477,6.1675164908883415
575,sharp,370,5.91350300563827
576,round,804,6.6895992691789665
577,lobbying,69,4.23410650459726
578,fourth,593,6.385194398997726
579,widespread,177,5.176149732573829
580,doubts,107,4.672828834461906
581,even,10698,9.277812087091196
582,additional,653,6.481577129276431
583,pledged,57,4.04305126783455
584,accomplish,152,5.0238805208462765
585,longstanding,27,3.295836866004329
586,halting,22,3.091042453358316
587,resolution,262,5.568344503761097
588,hailed,28,3.332204510175204
589,delivering,110,4.700480365792417
590,toughest,69,4.23410650459726
591,ever,3886,8.265135629937385
592,took,3282,8.096208271650037
593,still,7397,8.908829791587868
594,failed,673,6.511745329644728
595,carry,632,6.448889394146858
596,symbolic,108,4.68213122712422
597,weight,820,6.709304340258298
598,unanimous,38,3.6375861597263857
599,decision,1241,7.123672785204607
600,twelve,237,5.4680601411351315
601,measure,542,6.295266001439646
602,lebanon,70,4.248495242049359
603,imposed,142,4.955827057601261
604,than,13849,9.535968306842717
605,dozen,430,6.063785208687608
606,companies,1414,7.254177846456518
607,individuals,720,6.579251212010101
608,links,351,5.860786223465865
609,missile,77,4.343805421853684
610,programs,1219,7.105786129481271
611,suit,442,6.091309882077698
